,SE,SP,GM,F1-SCORE,Accuracy
Discrete,0.5586592178770949,0.9460431654676259,0.7269908767640175,0.6802721088435374,0.7943107221006565
Continous,0.6089385474860335,0.6438848920863309,0.626167973418676,0.5633074935400517,0.6301969365426696
Combination,0.5698324022346368,0.9424460431654677,0.7328276009768645,0.6868686868686867,0.7964989059080962
